## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.title,entity.cta
10000,Global Success at bux,Ad Cloud,Global fintech startup bux reduced their cost per acquisition by 93% with Adobe Experience Cloud. See how they did it.,https://www.adobe.com/content/dam/www/us/en/insights/insights-cards/297816127_ExpCloud_Recommended_content-CustomerStory-Bux-384x220.png,,https://www.adobe.com/content/dam/acom/en/customer-success/pdfs/bux-case-study.pdf,,,Customer Story,View bux's story
10001,BASK Digital Media Improves Responses,Ad Cloud,See how BASK Digital Media used Adobe Advertising Cloud to increase ballot awareness from 27% to 79%.,https://www.adobe.com/content/dam/www/us/en/insights/insights-cards/297816127_ExpCloud_Recommended_content-CustomerStory-BaskMedia-384x220.png,,https://www.adobe.com/content/dam/acom/en/customer-success/pdfs/bask-digital-case-study.pdf,,,Customer Story,View BASK's story
10002,Hotels.com Creates Memories,Ad Cloud,"Learn how Hotels.com is building memorable brand experiences with Adobe Advertising Cloud, improving customer satisfaction and increasing interaction.",https://www.adobe.com/content/dam/www/us/en/insights/insights-cards/297816127_ExpCloud_Recommended_content-CustomerStory-Hotels-384x220.png,,https://wwwimages2.adobe.com/content/dam/acom/en/customer-success/pdfs/hotelscom-case-study.pdf,,,Customer Story,View Hotels.com's story
10003,Global Experience at Silicon Labs,AEM,Silicon saw a 15% conversion lift by redesigning their website with Adobe Experience Manager. Learn more about how they did it.,https://www.adobe.com/content/dam/www/us/en/insights/insights-cards/297816127_ExpCloud_Recommended_content-CustomerStory-SiliconLabs-384x220.png,,https://wwwimages2.adobe.com/content/dam/acom/en/customer-success/pdfs/silicon-labs-case-study.pdf,,,Customer Story,View Silicon Labs' story
10004,Telegraph Media Group and Timely News,AEM,"By using Adobe Experience Manager, Telegraph Media Group can easily deliver mobile-optimized content, which in turn increases visitors' time on their site.",https://www.adobe.com/content/dam/www/us/en/insights/insights-cards/297816127_ExpCloud_Recommended_content-CustomerStory-TelegraphMedia-384x220.png,,https://www.adobe.com/customershowcase/story/telegraph-media.html,,,Customer Story,View Telegraph Media Group's story
10005,Zebra Connects at Scale,AEM,"With Adobe Experience Manager, Zebra easily scaled their website after a major acquisition by managing their 130,000 assets in one central place.",https://www.adobe.com/content/dam/www/us/en/insights/insights-cards/297816127_ExpCloud_Recommended_content-CustomerStory-Zebra-384x220.png,,https://www.adobe.com/customershowcase/story/zebra.html,,,Customer Story,View Zebra's story
10006,Better Journeys at Hyatt,AEM,"Hyatt used Adobe Experience Manager to store over 70,000 images and associated content in one location, controlling their global brand look.",https://www.adobe.com/content/dam/www/us/en/insights/insights-cards/297816127_ExpCloud_Recommended_content-CustomerStory-Hyatt-384x220.png,,https://wwwimages2.adobe.com/content/dam/acom/en/customer-success/pdfs/hyatt-case-study.pdf,,,Customer Story,View Hyatt's story
10007,Marin County Streamlines Services,AEM:Forms,"Adobe Experience Manager Forms helped Marin County, California, improve mobile access to forms and increase public engagement.",https://www.adobe.com/content/dam/www/us/en/insights/insights-cards/297816127_ExpCloud_Recommended_content-CustomerStory-MarinCounty-384x220.png,,https://wwwimages2.adobe.com/content/dam/acom/en/customer-success/pdfs/marin-county-case-study.pdf,,,Customer Story,View Marin County's story
10008,Nedbank Goes Digital,AEM:Forms,See how Nedbank used Adobe Experience Manager Forms to simplify their processes and increase completion rates by 142%.,https://www.adobe.com/content/dam/www/us/en/insights/insights-cards/297816127_ExpCloud_Recommended_content-CustomerStory-Nedbank-384x220.png,,https://www.adobe.com/customershowcase/story/nedbank.html,,,Customer Story,View Nedbank's story
10009,Epson Optimizes Their Experiences,Analytics,Learn how Epson used Adobe Sensei artificial intelligence along with Adobe Analytics to improve their customer experiences.,https://www.adobe.com/content/dam/www/us/en/insights/insights-cards/297816127_ExpCloud_Recommended_content-CustomerStory-Epson-384x220.png,,https://wwwimages2.adobe.com/content/dam/acom/en/customer-success/pdfs/epson-case-study.pdf,,,Customer Story,View Epson's story
